Sample..,Date,Kq,F.,Fm.,Y.II.,ETR,PAR,Leaf_Temperature,Time_day,Mod.Int,Mod.Wl,Det.Gain,Sat.Flash.Int,Sat.PW,Far.Red.Mode,Far.Red.Int,Far.Red.Dur,Fo,Fm,Fv,Fv.m,Fv.o,NPQ
1,2023-06-16,0.84,166,209,0.205,27.5,320,27.7,10:00:00,50,R,12,75,0.8,Off,50,5,965,3009,2044,0.679,2.118,13.39712919
2,2023-06-16,0.84,213,409,0.479,46.6,232,28.9,10:00:00,50,R,12,75,0.8,Off,50,5,1069,3384,2315,0.684,2.165,7.273838631
3,2023-06-16,0.84,167,180,0.072,11.8,394,29.7,10:00:00,50,R,12,75,0.8,Off,50,5,991,3480,2489,0.715,2.511,18.33333333
4,2023-06-16,0.84,253,420,0.397,10.6,64,28.9,10:00:00,50,R,12,75,0.8,Off,50,5,767,2634,1867,0.708,2.434,5.271428571
5,2023-06-16,0.84,151,179,0.156,17.2,263,28,10:00:00,50,R,12,75,0.8,Off,50,5,812,2264,1452,0.641,1.788,11.64804469
6,2023-06-16,0.84,183,451,0.594,7.4,30,27.7,10:00:00,,,,,,,,,,,,,,
7,2023-06-16,0.84,427,468,0.087,14.5,399,27.9,10:00:00,,,,,,,,,,,,,,
8,2023-06-16,0.84,217,560,0.612,8.4,33,28,10:00:00,,,,,,,,,,,,,,
1,2023-06-16,0.84,338,384,0.119,21.4,429,27.9,13:00:00,50,R,12,75,0.8,Off,50,5,965,3009,2044,0.679,2.118,6.8359375
2,2023-06-16,0.84,305,599,0.49,54.3,264,28,13:00:00,50,R,12,75,0.8,Off,50,5,1069,3384,2315,0.684,2.165,4.649415693
3,2023-06-16,0.84,218,560,0.61,5.6,22,28.3,13:00:00,50,R,12,75,0.8,Off,50,5,991,3480,2489,0.715,2.511,5.214285714
4,2023-06-16,0.84,262,733,0.642,6.2,23,28.3,13:00:00,50,R,12,75,0.8,Off,50,5,767,2634,1867,0.708,2.434,2.593451569
5,2023-06-16,0.84,382,542,0.295,52.1,421,29.5,13:00:00,50,R,12,75,0.8,Off,50,5,812,2264,1452,0.641,1.788,3.177121771
6,2023-06-16,0.84,256,499,0.486,58.3,286,29.3,13:00:00,,,,,,,,,,,,,,
7,2023-06-16,0.84,273,678,0.597,9.2,37,29.5,13:00:00,,,,,,,,,,,,,,
8,2023-06-16,0.84,218,486,0.551,13.4,58,29.8,13:00:00,,,,,,,,,,,,,,
1,2023-06-16,0.84,327,693,0.528,21.7,98,28.3,17:00:00,50,R,12,75,0.8,Off,50,5,965,3009,2044,0.679,2.118,3.341991342
2,2023-06-16,0.84,242,591,0.59,13.1,53,28.7,17:00:00,50,R,12,75,0.8,Off,50,5,1069,3384,2315,0.684,2.165,4.725888325
3,2023-06-16,0.84,218,433,0.496,14.5,70,28.8,17:00:00,50,R,12,75,0.8,Off,50,5,991,3480,2489,0.715,2.511,7.036951501
