5p+ Yield PS(II) Test
Sample #,Date,Time,Mod Int,Mod Wl,Det Gain,Sat Flash Int,Sat Width,Flash Mode,Far Red Mode,Far Red Int,Far Red Dur,Pre-Illum Mode,Illum Dur,Ke,Kq,PAR Corr,F',Fm',Y(II),ETR,PAR,Temp
   1, 7/ 2,18:13,  80,R,  12,  80,0.8,S,Off,  50,   5,Off, 0.2,0.50,0.84,1.00, 295, 937,0.685,  2.0,   7,20.0
   2, 7/ 2,18:16,  80,R,  12,  80,0.8,S,Off,  50,   5,Off, 0.2,0.50,0.84,1.00, 333, 821,0.594,  6.7,  27,20.0
   3, 7/ 2,18:19,  80,R,  12,  80,0.8,S,Off,  50,   5,Off, 0.2,0.50,0.84,1.00, 278, 451,0.383,  9.1,  57,20.0
   4, 7/ 2,18:22,  80,R,  12,  80,0.8,S,Off,  50,   5,Off, 0.2,0.50,0.84,1.00, 232, 292,0.205,  8.3,  97,20.0
   5, 7/ 2,18:25,  80,R,  12,  80,0.8,S,Off,  50,   5,Off, 0.2,0.50,0.84,1.00, 220, 249,0.116,  6.6, 137,20.0
   6, 7/ 2,18:28,  80,R,  12,  80,0.8,S,Off,  50,   5,Off, 0.2,0.50,0.84,1.00, 220, 235,0.063,  4.6, 177,20.1
5p+ Yield PS(II) Test
Sample #,Date,Time,Mod Int,Mod Wl,Det Gain,Sat Flash Int,Sat Width,Flash Mode,Far Red Mode,Far Red Int,Far Red Dur,Pre-Illum Mode,Illum Dur,Ke,Kq,PAR Corr,F',Fm',Y(II),ETR,PAR,Temp
   1, 7/ 2,18:38,  80,R,  12,  80,0.8,S,Off,  50,   5,Off, 0.2,0.50,0.84,1.00, 245, 547,0.552,  1.6,   7,20.0
   2, 7/ 2,18:41,  80,R,  12,  80,0.8,S,Off,  50,   5,Off, 0.2,0.50,0.84,1.00, 257, 526,0.511,  5.7,  27,20.0
   3, 7/ 2,18:44,  80,R,  12,  80,0.8,S,Off,  50,   5,Off, 0.2,0.50,0.84,1.00, 240, 372,0.354,  8.4,  57,20.0
   4, 7/ 2,18:47,  80,R,  12,  80,0.8,S,Off,  50,   5,Off, 0.2,0.50,0.84,1.00, 201, 253,0.205,  8.3,  97,20.0
   5, 7/ 2,18:50,  80,R,  12,  80,0.8,S,Off,  50,   5,Off, 0.2,0.50,0.84,1.00, 192, 214,0.102,  5.8, 137,20.0
   6, 7/ 2,18:53,  80,R,  12,  80,0.8,S,Off,  50,   5,Off, 0.2,0.50,0.84,1.00, 185, 202,0.084,  6.2, 177,20.1
5p+ Yield PS(II) Test
Sample #,Date,Time,Mod Int,Mod Wl,Det Gain,Sat Flash Int,Sat Width,Flash Mode,Far Red Mode,Far Red Int,Far Red Dur,Pre-Illum Mode,Illum Dur,Ke,Kq,PAR Corr,F',Fm',Y(II),ETR,PAR,Temp
   1, 7/ 2,19: 2,  80,R,  12,  80,0.8,S,Off,  50,   5,Off, 0.2,0.50,0.84,1.00, 254, 659,0.614,  1.8,   7,19.9
   2, 7/ 2,19: 5,  80,R,  12,  80,0.8,S,Off,  50,   5,Off, 0.2,0.50,0.84,1.00, 272, 585,0.535,  6.0,  27,19.9
   3, 7/ 2,19: 8,  80,R,  12,  80,0.8,S,Off,  50,   5,Off, 0.2,0.50,0.84,1.00, 248, 410,0.395,  9.4,  57,20.0
   4, 7/ 2,19:11,  80,R,  12,  80,0.8,S,Off,  50,   5,Off, 0.2,0.50,0.84,1.00, 213, 276,0.228,  9.2,  97,20.1
   5, 7/ 2,19:14,  80,R,  12,  80,0.8,S,Off,  50,   5,Off, 0.2,0.50,0.84,1.00, 210, 243,0.135,  7.7, 137,20.1
   6, 7/ 2,19:17,  80,R,  12,  80,0.8,S,Off,  50,   5,Off, 0.2,0.50,0.84,1.00, 213, 234,0.089,  6.6, 177,20.2
5p+ Yield PS(II) Test
Sample #,Date,Time,Mod Int,Mod Wl,Det Gain,Sat Flash Int,Sat Width,Flash Mode,Far Red Mode,Far Red Int,Far Red Dur,Pre-Illum Mode,Illum Dur,Ke,Kq,PAR Corr,F',Fm',Y(II),ETR,PAR,Temp
   1, 7/ 2,19:28,  80,R,  11,  80,0.8,S,Off,  50,   5,Off, 0.2,0.50,0.84,1.00, 239, 726,0.670,  1.9,   7,19.9
   2, 7/ 2,19:30,  80,R,  11,  80,0.8,S,Off,  50,   5,Off, 0.2,0.50,0.84,1.00, 256, 598,0.571,  6.4,  27,19.9
   3, 7/ 2,19:33,  80,R,  11,  80,0.8,S,Off,  50,   5,Off, 0.2,0.50,0.84,1.00, 215, 333,0.354,  8.4,  57,19.9
   4, 7/ 2,19:36,  80,R,  11,  80,0.8,S,Off,  50,   5,Off, 0.2,0.50,0.84,1.00, 192, 239,0.196,  7.9,  97,19.9
   5, 7/ 2,19:39,  80,R,  11,  80,0.8,S,Off,  50,   5,Off, 0.2,0.50,0.84,1.00, 192, 219,0.123,  7.0, 137,19.9
   6, 7/ 2,19:42,  80,R,  11,  80,0.8,S,Off,  50,   5,Off, 0.2,0.50,0.84,1.00, 195, 213,0.084,  6.2, 177,20.0
5p+ Yield PS(II) Test
