5p+ Fv/m Test
Sample #,Date,Time,Mod Int,Mod Wl,Det Gain,Sat Flash Int,Sat PW,Far Red Mode,Far Red Int,Far Red Dur,Fo,Fm,Fv,Fv/m,Fv/o
   1, 7/18, 9:44,  50,R,   3,  75,0.8,Off,  50,   5, 176, 379, 203,0.535,1.153
   2, 7/18, 9:44,  50,R,   3,  75,0.8,Off,  50,   5, 194, 386, 192,0.497,0.989
   3, 7/18, 9:45,  50,R,   3,  75,0.8,Off,  50,   5, 242, 735, 493,0.670,2.037
5p+ Fv/m Test
Sample #,Date,Time,Mod Int,Mod Wl,Det Gain,Sat Flash Int,Sat PW,Far Red Mode,Far Red Int,Far Red Dur,Fo,Fm,Fv,Fv/m,Fv/o
   1, 7/18,10: 0,  50,R,   3,  75,0.8,Off,  50,   5, 216, 506, 290,0.573,1.342
   2, 7/18,10: 0,  50,R,   3,  75,0.8,Off,  50,   5, 180, 492, 312,0.634,1.733
   3, 7/18,10: 0,  50,R,   3,  75,0.8,Off,  50,   5, 214, 666, 452,0.678,2.112
   4, 7/18,10: 1,  50,R,   3,  75,0.8,Off,  50,   5, 235, 397, 162,0.408,0.689
   5, 7/18,10: 1,  50,R,   3,  75,0.8,Off,  50,   5, 188, 392, 204,0.520,1.085
