Sample #,Date,Time,Mod Int,Mod Wl,Det Gain,Sat Flash Int,Sat Width,Flash Mode,Far Red Mode,Far Red Int,Far Red Dur,Pre-Illum Mode,Illum Dur,Ke,Kq,PAR Corr,F',Fm',Y(II),ETR,PAR,Temp
1, 6/ 2, 8:31,80,R,12,75,0.8,S,Off,50,5,Off,1,0.5,0.84,1,201,352,0.428,5.5,31,13.2
2, 6/ 2, 8:31,80,R,12,75,0.8,S,Off,50,5,Off,1,0.5,0.84,1,222,469,0.526,9,41,13.5
3, 6/ 2, 8:32,80,R,12,75,0.8,S,Off,50,5,Off,1,0.5,0.84,1,214,695,0.692,4,14,13.7
4, 6/ 2, 8:32,80,R,12,75,0.8,S,Off,50,5,Off,1,0.5,0.84,1,154,201,0.233,3.7,38,13.8
1, 6/ 2, 8:42,80,R,12,75,0.8,S,Off,50,5,Off,1,0.5,0.84,1,195,296,0.341,4.2,30,13.3
2, 6/ 2, 8:45,80,R,12,75,0.8,S,Off,50,5,Off,1,0.5,0.84,1,185,364,0.491,6.5,32,14.3
3, 6/ 2, 8:48,80,R,12,75,0.8,S,Off,50,5,Off,1,0.5,0.84,1,234,582,0.597,10.2,41,14.6
4, 6/ 2, 8:48,80,R,12,75,0.8,S,Off,50,5,Off,1,0.5,0.84,1,203,394,0.484,10.9,54,14.8
!100,,,,,,,,,,,,,,,,,,,,,,
1, 6/21,16:56,80,R,12,75,0.8,S,Off,50,5,Off,1,0.5,0.84,1,214,400,0.465,11.3,58,27.8
2, 6/21,16:57,80,R,12,75,0.8,S,Off,50,5,Off,1,0.5,0.84,1,299,690,0.566,25.9,109,27.7
3, 6/21,16:57,80,R,12,75,0.8,S,Off,50,5,Off,1,0.5,0.84,1,267,755,0.646,5.1,19,27.7
4, 6/21,16:57,80,R,12,75,0.8,S,Off,50,5,Off,1,0.5,0.84,1,227,605,0.624,7.8,30,28.1
