!5                                 ,,,,,,,,,,,,,,,,,,,,,,
5p+ Yield PS(II) Test,,,,,,,,,,,,,,,,,,,,,,
Sample #,Date,Time,Mod Int,Mod Wl,Det Gain,Sat Flash Int,Sat Width,Flash Mode,Far Red Mode,Far Red Int,Far Red Dur,Pre-Illum Mode,Illum Dur,Ke,Kq,PAR Corr,F',Fm',Y(II),ETR,PAR,Temp
1, 7/ 2,22:52,80,R,9,80,0.8,S,Off,50,5,Off,0.2,0.5,0.84,1,256,889,0.712,2,7,21.1
2, 7/ 2,22:55,80,R,9,80,0.8,S,Off,50,5,Off,0.2,0.5,0.84,1,313,795,0.606,6.8,27,21.1
3, 7/ 2,22:58,80,R,9,80,0.8,S,Off,50,5,Off,0.2,0.5,0.84,1,274,484,0.433,10.3,57,21.2
4, 7/ 2,23:01,80,R,9,80,0.8,S,Off,50,5,Off,0.2,0.5,0.84,1,239,323,0.26,10.5,97,21.2
5, 7/ 2,23:04,80,R,9,80,0.8,S,Off,50,5,Off,0.2,0.5,0.84,1,237,281,0.156,8.9,137,21.3
6, 7/ 2,23:07,80,R,9,80,0.8,S,Off,50,5,Off,0.2,0.5,0.84,1,233,264,0.117,8.6,177,21.4
5p+ Yield PS(II) Test,,,,,,,,,,,,,,,,,,,,,,
Sample #,Date,Time,Mod Int,Mod Wl,Det Gain,Sat Flash Int,Sat Width,Flash Mode,Far Red Mode,Far Red Int,Far Red Dur,Pre-Illum Mode,Illum Dur,Ke,Kq,PAR Corr,F',Fm',Y(II),ETR,PAR,Temp
1, 7/ 2,23:16,80,R,11,80,0.8,S,Off,50,5,Off,0.2,0.5,0.84,1,237,732,0.676,1.9,7,21.2
2, 7/ 2,23:19,80,R,11,80,0.8,S,Off,50,5,Off,0.2,0.5,0.84,1,266,658,0.595,6.7,27,21.2
3, 7/ 2,23:21,80,R,11,80,0.8,S,Off,50,5,Off,0.2,0.5,0.84,1,240,411,0.416,9.9,57,21.2
