5p+ Fv/m Test
Sample #,Date,Time,Mod Int,Mod Wl,Det Gain,Sat Flash Int,Sat PW,Far Red Mode,Far Red Int,Far Red Dur,Fo,Fm,Fv,Fv/m,Fv/o
   1, 7/ 7, 9:37,  50,R,   5,  75,0.8,Off,  50,   5, 240, 690, 450,0.652,1.875
!1)4MISS                           
   2, 7/ 7, 9:38,  50,R,   5,  75,0.8,Off,  50,   5, 249, 734, 485,0.660,1.947
!4 FOUND                           
5p+ Fv/m Test
Sample #,Date,Time,Mod Int,Mod Wl,Det Gain,Sat Flash Int,Sat PW,Far Red Mode,Far Red Int,Far Red Dur,Fo,Fm,Fv,Fv/m,Fv/o
   1, 7/ 7, 9:42,  50,R,   5,  75,0.8,Off,  50,   5, 216, 666, 450,0.675,2.083
5p+ Fv/m Test
Sample #,Date,Time,Mod Int,Mod Wl,Det Gain,Sat Flash Int,Sat PW,Far Red Mode,Far Red Int,Far Red Dur,Fo,Fm,Fv,Fv/m,Fv/o
   1, 7/ 7, 9:54,  50,R,   3,  75,0.8,Off,  50,   5, 167, 413, 246,0.595,1.473
   2, 7/ 7, 9:55,  50,R,   3,  75,0.8,Off,  50,   5, 229, 664, 435,0.655,1.899
   3, 7/ 7, 9:55,  50,R,   3,  75,0.8,Off,  50,   5, 169, 382, 213,0.557,1.260
