5p+ Fv/m Test
Sample #,Date,Time,Mod Int,Mod Wl,Det Gain,Sat Flash Int,Sat PW,Far Red Mode,Far Red Int,Far Red Dur,Fo,Fm,Fv,Fv/m,Fv/o
   1, 7/25, 9:28,  50,R,   3,  75,0.8,Off,  50,   5, 223, 645, 422,0.654,1.892
   2, 7/25, 9:29,  50,R,   3,  75,0.8,Off,  50,   5, 216, 649, 433,0.667,2.004
   3, 7/25, 9:30,  50,R,   3,  75,0.8,Off,  50,   5, 245, 651, 406,0.623,1.657
   4, 7/25, 9:30,  50,R,   3,  75,0.8,Off,  50,   5, 219, 746, 527,0.706,2.406
5p+ Fv/m Test
Sample #,Date,Time,Mod Int,Mod Wl,Det Gain,Sat Flash Int,Sat PW,Far Red Mode,Far Red Int,Far Red Dur,Fo,Fm,Fv,Fv/m,Fv/o
   1, 7/25, 9:40,  50,R,   3,  75,0.8,Off,  50,   5, 189, 624, 435,0.697,2.301
   2, 7/25, 9:41,  50,R,   3,  75,0.8,Off,  50,   5, 179, 572, 393,0.687,2.195
   3, 7/25, 9:41,  50,R,   3,  75,0.8,Off,  50,   5, 239, 615, 376,0.611,1.573
