5p+ Fv/m Test
Sample #,Date,Time,Mod Int,Mod Wl,Det Gain,Sat Flash Int,Sat PW,Far Red Mode,Far Red Int,Far Red Dur,Fo,Fm,Fv,Fv/m,Fv/o
   1, 8/30, 9:30,  50,R,   4,  75,0.8,Off,  50,   5, 279, 738, 459,0.621,1.645
   2, 8/30, 9:30,  50,R,   4,  75,0.8,Off,  50,   5, 229, 717, 488,0.680,2.131
   3, 8/30, 9:30,  50,R,   4,  75,0.8,Off,  50,   5, 254, 998, 744,0.745,2.929
   4, 8/30, 9:31,  50,R,   4,  75,0.8,Off,  50,   5, 183, 603, 420,0.696,2.295
   5, 8/30, 9:31,  50,R,   4,  75,0.8,Off,  50,   5, 231, 920, 689,0.748,2.982
5p+ Fv/m Test
Sample #,Date,Time,Mod Int,Mod Wl,Det Gain,Sat Flash Int,Sat PW,Far Red Mode,Far Red Int,Far Red Dur,Fo,Fm,Fv,Fv/m,Fv/o
   1, 8/30, 9:41,  50,R,   4,  75,0.8,Off,  50,   5, 278, 638, 360,0.564,1.294
   2, 8/30, 9:42,  50,R,   4,  75,0.8,Off,  50,   5, 214, 737, 523,0.709,2.443
   3, 8/30, 9:43,  50,R,   4,  75,0.8,Off,  50,   5, 246, 891, 645,0.723,2.621
   4, 8/30, 9:43,  50,R,   4,  75,0.8,Off,  50,   5, 244, 847, 603,0.711,2.471
