station,sensor,Date,Time,min,max,mean,count
MK,temperature,07/09/2023,11:51:00 PM,17.89,18.22,18.04033223,301
MK,temperature,07/09/2023,10:51:00 PM,18.87,19.06,18.96372093,301
MK,temperature,07/09/2023,9:50:00 PM,19.74,20.04,19.87920266,301
MK,temperature,07/09/2023,8:50:00 PM,20.58,20.91,20.67322259,301
MK,temperature,07/09/2023,7:50:00 PM,22.25,22.83,22.49923588,301
MK,temperature,07/09/2023,6:50:00 PM,25.99,26.76,26.38086379,301
MK,temperature,07/09/2023,5:50:00 PM,30.11,30.41,30.30196013,301
MK,temperature,07/09/2023,4:49:00 PM,30.53,31.18,30.73471761,301
MK,temperature,07/09/2023,3:49:00 PM,31.45,31.95,31.77019934,301
MK,temperature,07/09/2023,2:49:00 PM,31.38,31.85,31.56139535,301
MK,temperature,07/09/2023,1:49:00 PM,30.63,31.1,30.85737542,301
MK,temperature,07/09/2023,12:49:00 PM,29.94,30.33,30.16046512,301
MK,temperature,07/09/2023,11:49:00 AM,28.07,28.6,28.36405316,301
MK,temperature,07/09/2023,10:48:00 AM,25.02,25.62,25.32076412,301
MK,temperature,07/09/2023,9:48:00 AM,22.73,23.52,23.19428571,301
MK,temperature,07/09/2023,8:48:00 AM,20.68,21.03,20.88830565,301
MK,temperature,07/09/2023,7:48:00 AM,18.59,19.04,18.8627907,301
MK,temperature,07/09/2023,6:48:00 AM,17.54,17.59,17.56501661,301
MK,temperature,07/09/2023,5:47:00 AM,17.62,17.69,17.64717608,301
MK,temperature,07/09/2023,4:47:00 AM,17.25,17.47,17.34714286,301
MK,temperature,07/09/2023,3:47:00 AM,17.64,17.84,17.72023256,301
MK,temperature,07/09/2023,2:47:00 AM,18.44,18.57,18.49601329,301
MK,temperature,07/09/2023,1:47:00 AM,19.14,19.46,19.3355814,301
MK,windSpeed,08/09/2023,12:51:00 AM,0,3.31,0.156578073,301
MK,windSpeed,07/09/2023,11:51:00 PM,0,0,0,301
MK,windSpeed,07/09/2023,10:51:00 PM,0,2.22,0.22627907,301
MK,windSpeed,07/09/2023,9:50:00 PM,0,0,0,301
MK,windSpeed,07/09/2023,8:50:00 PM,0,0,0,301
MK,windSpeed,07/09/2023,7:50:00 PM,0,2.07,0.404850498,301
MK,windSpeed,07/09/2023,6:50:00 PM,0,0,0,301
MK,windSpeed,07/09/2023,5:50:00 PM,0,5.05,1.562923588,301
MK,windSpeed,07/09/2023,4:49:00 PM,0,5.86,1.955747508,301
MK,windSpeed,07/09/2023,3:49:00 PM,0,8.4,3.67833887,301
MK,windSpeed,07/09/2023,2:49:00 PM,0,6.61,2.913521595,301
